变量,变量类型,检验方法,统计量名称,统计量值,P值,是否显著(α=0.05),备注
性生活疼痛,二分类,Fisher精确检验,OR,inf,1.0,否,最小期望频数=0.70
PGI-I,有序变量,Mann-Whitney U检验,U,399.0,0.5416,否,组0 n=15(中位数=1.0)，组1 n=49(中位数=1.0)；效应量r=0.0763
差值PISQ-12,数值型差值,样本量不足,-,-,-,-,组0 n=2，组1 n=11
差值POPDI-6,数值型,独立样本t检验,t,-0.5347,0.5948,否,组0 n=15(均值=-20.835)，组1 n=49(均值=-18.539)；Cohen's d=0.1578
差值CRADI-8,数值型,独立样本t检验,t,0.1805,0.8574,否,组0 n=15(均值=-9.375)，组1 n=49(均值=-9.885)；Cohen's d=0.0533
差值UDI-6,数值型,独立样本t检验,t,0.1861,0.853,否,组0 n=15(均值=-12.223)，组1 n=49(均值=-12.926)；Cohen's d=0.0549
差值PFDI-20,数值型,Mann-Whitney U检验,U,372.5,0.9431,否,组0 n=15(均值=-43.544)，组1 n=49(均值=-41.350)；效应量r=0.0089
差值UIQ-7,数值型,Mann-Whitney U检验,U,396.5,0.6495,否,组0 n=15(均值=-20.949)，组1 n=49(均值=-19.239)；效应量r=0.0568
差值CARIQ-7,数值型,Mann-Whitney U检验,U,377.0,0.8842,否,组0 n=15(均值=-14.601)，组1 n=49(均值=-12.340)；效应量r=0.0182
差值POPIQ-7,数值型,独立样本t检验,t,0.8195,0.4156,否,组0 n=15(均值=-23.806)，组1 n=49(均值=-27.109)；Cohen's d=0.2418
差值PFIQ-7,数值型,Mann-Whitney U检验,U,408.0,0.5248,否,组0 n=15(均值=-59.356)，组1 n=49(均值=-58.688)；效应量r=0.0795
