变量名,变量类型,有效样本数,缺失值数,均值,标准差,最小值,最大值,取值,频数,百分比
术前PISQ-12,数值型,13.0,51.0,28.8462,3.2106,24.0,34.0,,,
术后PISQ-12,数值型,13.0,51.0,35.0769,4.1122,31.0,45.0,,,
差值PISQ-12,数值型,13.0,51.0,6.2308,1.8777,4.0,11.0,,,
术前POPDI-6,数值型,64.0,0.0,24.2207,12.0377,8.334,58.338,,,
术后POPDI-6,数值型,64.0,0.0,5.1436,8.682,0.0,37.503,,,
差值POPDI-6,数值型,64.0,0.0,-19.077,14.4693,-58.338,12.501,,,
术前CRADI-8,数值型,64.0,0.0,12.5977,7.4903,0.0,40.625,,,
术后CRADI-8,数值型,64.0,0.0,2.832,6.0154,0.0,25.0,,,
差值CRADI-8,数值型,64.0,0.0,-9.7656,9.5064,-40.625,12.5,,,
术前UDI-6,数值型,64.0,0.0,18.7515,11.0123,0.0,50.004,,,
术后UDI-6,数值型,64.0,0.0,5.9901,9.3288,0.0,33.336,,,
差值UDI-6,数值型,64.0,0.0,-12.7614,12.706,-45.837,20.835,,,
术前PFDI-20,数值型,64.0,0.0,55.8303,22.8803,16.668,121.883,,,
术后PFDI-20,数值型,64.0,0.0,13.9657,18.9174,0.0,70.837,,,
差值PFDI-20,数值型,64.0,0.0,-41.8645,27.7018,-120.841,41.669,,,
术前UIQ-7,数值型,64.0,0.0,23.2099,14.131,0.0,80.937,,,
术后UIQ-7,数值型,64.0,0.0,3.57,9.7809,0.0,52.36,,,
差值UIQ-7,数值型,64.0,0.0,-19.6399,16.2609,-76.177,28.555,,,
术前CARIQ-7,数值型,64.0,0.0,14.655,10.3652,0.0,66.654,,,
术后CARIQ-7,数值型,64.0,0.0,1.785,7.2214,0.0,38.08,,,
差值CARIQ-7,数值型,64.0,0.0,-12.87,13.0495,-61.894,38.08,,,
术前POPIQ-7,数值型,64.0,0.0,28.4916,11.6772,4.761,61.893,,,
术后POPIQ-7,数值型,64.0,0.0,2.1569,6.7279,0.0,33.32,,,
差值POPIQ-7,数值型,64.0,0.0,-26.3347,13.624,-61.893,4.759,,,
术前PFIQ-7,数值型,64.0,0.0,66.3564,22.1998,14.283,180.918,,,
术后PFIQ-7,数值型,64.0,0.0,7.5119,16.8517,0.0,76.16,,,
差值PFIQ-7,数值型,64.0,0.0,-58.8446,25.6491,-138.078,-0.016,,,
性生活疼痛,分类型,,,,,,,0.0,61.0,95.3%
性生活疼痛,分类型,,,,,,,1.0,3.0,4.7%
PGI-I,分类型,,,,,,,1.0,45.0,70.3%
PGI-I,分类型,,,,,,,2.0,9.0,14.1%
PGI-I,分类型,,,,,,,3.0,8.0,12.5%
PGI-I,分类型,,,,,,,4.0,2.0,3.1%
