分类值,变量,宫颈部分截除术=0,宫颈部分截除术=1,合计,宫颈部分截除术=0(%),宫颈部分截除术=1(%)
0,主观复发,19,75,94,79.17,89.29
1,主观复发,5,9,14,20.830000000000002,10.71
All,主观复发,24,84,108,,
0,Ba≥-1,12,60,72,50.0,71.43
1,Ba≥-1,12,24,36,50.0,28.57
All,Ba≥-1,24,84,108,,
0,C≥-1,21,80,101,87.5,95.24000000000001
1,C≥-1,3,4,7,12.5,4.760000000000001
All,C≥-1,24,84,108,,
0,Bp≥-1,22,78,100,91.67,92.86
1,Bp≥-1,2,6,8,8.33,7.140000000000001
All,Bp≥-1,24,84,108,,
0,任一指示点≥-1,10,58,68,41.67,69.05
1,任一指示点≥-1,14,26,40,58.330000000000005,30.95
All,任一指示点≥-1,24,84,108,,
0,Ba>0,21,72,93,87.5,85.71
1,Ba>0,3,12,15,12.5,14.29
All,Ba>0,24,84,108,,
0,C>0,21,82,103,87.5,97.61999999999999
1,C>0,3,2,5,12.5,2.3800000000000003
All,C>0,24,84,108,,
0,Bp>0,23,84,107,95.83,100.0
1,Bp>0,1,0,1,4.17,0.0
All,Bp>0,24,84,108,,
0,任一指示点＞0,18,71,89,75.0,84.52
1,任一指示点＞0,6,13,19,25.0,15.479999999999999
All,任一指示点＞0,24,84,108,,
