变量,宫颈部分截除术=0_均值,宫颈部分截除术=0_标准差,宫颈部分截除术=0_N,宫颈部分截除术=1_均值,宫颈部分截除术=1_标准差,宫颈部分截除术=1_N
术前PISQ-12,29.8,1.7889,5,28.2,4.1223,30
术后PISQ-12,33.6,3.8471,5,34.4333,3.8924,30
差值PISQ-12,3.8,3.7014,5,6.2333,3.3803,30
术前POPDI-6,22.9185,10.4266,24,23.7122,10.6871,84
术后POPDI-6,4.167,7.2696,24,5.1095,8.8774,84
差值POPDI-6,-18.7515,9.7531,24,-18.6027,14.193,84
术前CRADI-8,12.2396,7.0733,24,11.6071,7.5396,84
术后CRADI-8,3.125,5.2937,24,2.4182,5.7469,84
差值CRADI-8,-9.1146,8.238,24,-9.189,9.5842,84
术前UDI-6,18.057,11.4393,24,19.694,13.3562,84
术后UDI-6,6.5978,9.106,24,8.334,12.5428,84
差值UDI-6,-11.4592,13.5306,24,-11.36,17.6359,84
术前PFDI-20,53.9096,21.6308,24,55.0134,20.9008,84
术后PFDI-20,14.0634,15.6456,24,16.1097,20.2991,84
差值PFDI-20,-39.8462,20.4259,24,-38.9037,30.2033,84
术前UIQ-7,24.3807,18.5225,24,25.0866,16.7747,84
术后UIQ-7,5.1567,9.5114,24,3.57,9.8823,84
差值UIQ-7,-19.2241,21.8457,24,-21.5166,20.0629,84
术前CARIQ-7,16.8527,14.245,24,14.0471,8.1854,84
术后CARIQ-7,3.1733,9.381,24,1.1333,5.6087,84
差值CARIQ-7,-13.6793,17.3808,24,-12.9137,10.8433,84
术前POPIQ-7,27.7702,11.6329,24,28.1669,11.1148,84
术后POPIQ-7,4.3633,9.7163,24,1.4167,4.889,84
差值POPIQ-7,-23.4068,15.0485,24,-26.7502,12.2747,84
术前PFIQ-7,68.8052,34.8585,24,67.1305,20.3383,84
术后PFIQ-7,12.6933,22.5313,24,6.7433,16.9013,84
差值PFIQ-7,-56.1119,41.0582,24,-60.3872,28.589,84
PGI-I,1.5833,0.9286,24,1.5238,0.857,84
