分类值,变量,宫颈部分截除术=0,宫颈部分截除术=1,合计,宫颈部分截除术=0(%),宫颈部分截除术=1(%)
0,主观复发,5,20,25,100.0,90.91
1,主观复发,0,2,2,0.0,9.09
All,主观复发,5,22,27,,
0,Ba≥-1,2,20,22,40.0,90.91
1,Ba≥-1,3,2,5,60.0,9.09
All,Ba≥-1,5,22,27,,
0,C≥-1,5,21,26,100.0,95.45
1,C≥-1,0,1,1,0.0,4.55
All,C≥-1,5,22,27,,
0,Bp≥-1,4,20,24,80.0,90.91
1,Bp≥-1,1,2,3,20.0,9.09
All,Bp≥-1,5,22,27,,
0,任一指示点≥-1,1,18,19,20.0,81.82
1,任一指示点≥-1,4,4,8,80.0,18.18
All,任一指示点≥-1,5,22,27,,
0,Ba>0,5,21,26,100.0,95.45
1,Ba>0,0,1,1,0.0,4.55
All,Ba>0,5,22,27,,
0,C>0,5,21,26,100.0,95.45
1,C>0,0,1,1,0.0,4.55
All,C>0,5,22,27,,
0,Bp>0,5,22,27,100.0,100.0
All,Bp>0,5,22,27,,
0,任一指示点＞0,5,20,25,100.0,90.91
1,任一指示点＞0,0,2,2,0.0,9.09
All,任一指示点＞0,5,22,27,,
