分类值,变量,宫颈部分截除术=0,宫颈部分截除术=1,合计,宫颈部分截除术=0(%),宫颈部分截除术=1(%)
0,主观复发,3,10,13,75.0,76.92
1,主观复发,1,3,4,25.0,23.08
All,主观复发,4,13,17,,
0,Ba≥-1,2,10,12,50.0,76.92
1,Ba≥-1,2,3,5,50.0,23.08
All,Ba≥-1,4,13,17,,
0,C≥-1,3,11,14,75.0,84.62
1,C≥-1,1,2,3,25.0,15.38
All,C≥-1,4,13,17,,
0,Bp≥-1,4,13,17,100.0,100.0
All,Bp≥-1,4,13,17,,
0,任一指示点≥-1,2,10,12,50.0,76.92
1,任一指示点≥-1,2,3,5,50.0,23.08
All,任一指示点≥-1,4,13,17,,
0,Ba>0,3,9,12,75.0,69.23
1,Ba>0,1,4,5,25.0,30.77
All,Ba>0,4,13,17,,
0,C>0,3,12,15,75.0,92.31
1,C>0,1,1,2,25.0,7.69
All,C>0,4,13,17,,
0,Bp>0,4,13,17,100.0,100.0
All,Bp>0,4,13,17,,
0,任一指示点＞0,2,9,11,50.0,69.23
1,任一指示点＞0,2,4,6,50.0,30.77
All,任一指示点＞0,4,13,17,,
