分类值,变量,宫颈部分截除术=0,宫颈部分截除术=1,合计,宫颈部分截除术=0(%),宫颈部分截除术=1(%)
0,主观复发,11,45,56,73.33,91.84
1,主观复发,4,4,8,26.67,8.16
All,主观复发,15,49,64,,
0,Ba≥-1,8,30,38,53.33,61.22
1,Ba≥-1,7,19,26,46.67,38.78
All,Ba≥-1,15,49,64,,
0,C≥-1,13,48,61,86.67,97.96
1,C≥-1,2,1,3,13.33,2.04
All,C≥-1,15,49,64,,
0,Bp≥-1,14,45,59,93.33,91.84
1,Bp≥-1,1,4,5,6.67,8.16
All,Bp≥-1,15,49,64,,
0,任一指示点≥-1,7,30,37,46.67,61.22
1,任一指示点≥-1,8,19,27,53.33,38.78
All,任一指示点≥-1,15,49,64,,
0,Ba>0,13,42,55,86.67,85.71
1,Ba>0,2,7,9,13.33,14.29
All,Ba>0,15,49,64,,
0,C>0,13,49,62,86.67,100.0
1,C>0,2,0,2,13.33,0.0
All,C>0,15,49,64,,
0,Bp>0,14,49,63,93.33,100.0
1,Bp>0,1,0,1,6.67,0.0
All,Bp>0,15,49,64,,
0,任一指示点＞0,11,42,53,73.33,85.71
1,任一指示点＞0,4,7,11,26.67,14.29
All,任一指示点＞0,15,49,64,,
