变量,宫颈部分截除术=0_均值,宫颈部分截除术=0_标准差,宫颈部分截除术=0_N,宫颈部分截除术=1_均值,宫颈部分截除术=1_标准差,宫颈部分截除术=1_N
术前PISQ-12,29.6667,1.5275,3,28.0667,5.1056,15
术后PISQ-12,32.6667,4.7258,3,34.4,3.9964,15
差值PISQ-12,3.0,5.0,3,6.3333,4.4987,15
术前POPDI-6,20.0016,7.4542,5,23.1079,8.7905,22
术后POPDI-6,3.3336,5.4331,5,5.4929,9.8262,22
差值POPDI-6,-16.668,5.1035,5,-17.615,13.0468,22
术前CRADI-8,10.0,6.7748,5,10.7955,7.4532,22
术后CRADI-8,3.75,5.5902,5,1.2784,3.1486,22
差值CRADI-8,-6.25,3.8273,5,-9.517,9.2238,22
术前UDI-6,17.5014,11.1812,5,21.0244,15.6168,22
术后UDI-6,11.6676,11.1812,5,12.3116,13.5165,22
差值UDI-6,-5.8338,13.6942,5,-8.7128,20.2068,22
术前PFDI-20,47.503,10.5366,5,54.9278,17.0273,22
术后PFDI-20,18.7512,16.4054,5,19.0829,22.2208,22
差值PFDI-20,-28.7518,11.2343,5,-35.8449,30.6235,22
术前UIQ-7,22.848,7.8215,5,27.4782,19.2615,22
术后UIQ-7,10.472,13.6306,5,3.8945,10.0317,22
差值UIQ-7,-12.376,20.9115,5,-23.5836,22.7324,22
术前CARIQ-7,18.05,6.1932,5,14.4659,9.9935,22
术后CARIQ-7,6.664,14.9012,5,0.8655,4.0593,22
差值CARIQ-7,-11.386,20.071,5,-13.6005,11.9407,22
术前POPIQ-7,29.512,7.8215,5,25.9636,8.1428,22
术后POPIQ-7,9.52,13.8777,5,0.6491,2.2256,22
差值POPIQ-7,-19.992,19.1586,5,-25.3145,8.861,22
术前PFIQ-7,70.41,19.4399,5,67.9077,23.5944,22
术后PFIQ-7,26.656,41.8501,5,5.4091,14.9298,22
差值PFIQ-7,-43.754,59.2879,5,-62.4986,32.5158,22
PGI-I,1.4,0.5477,5,1.6818,0.9455,22
