变量,宫颈部分截除术=0_均值,宫颈部分截除术=0_标准差,宫颈部分截除术=0_N,宫颈部分截除术=1_均值,宫颈部分截除术=1_标准差,宫颈部分截除术=1_N
术前PISQ-12,,,0,27.5,1.9149,4
术后PISQ-12,,,0,32.75,1.2583,4
差值PISQ-12,,,0,5.25,1.2583,4
术前POPDI-6,19.7933,3.9896,4,23.3993,8.2535,13
术后POPDI-6,6.2505,7.9792,4,2.8848,7.093,13
差值POPDI-6,-13.5427,6.2505,4,-20.5145,11.9641,13
术前CRADI-8,12.5,10.2062,4,9.6154,6.6855,13
术后CRADI-8,0.7812,1.5625,4,3.6058,7.6383,13
差值CRADI-8,-11.7188,11.5174,4,-6.0096,9.2405,13
术前UDI-6,17.7097,16.7977,4,20.5145,17.3871,13
术后UDI-6,2.0835,4.167,4,10.5778,18.6831,13
差值UDI-6,-15.6262,19.948,4,-9.9367,27.0876,13
术前PFDI-20,50.003,22.568,4,53.5292,21.5119,13
术后PFDI-20,10.157,10.9714,4,18.6711,20.0583,13
差值PFDI-20,-39.846,26.4413,4,-34.8581,33.1577,13
术前UIQ-7,24.885,20.2493,4,29.8985,26.9795,13
术后UIQ-7,3.57,4.5574,4,3.2954,9.3972,13
差值UIQ-7,-21.315,24.6484,4,-26.6031,32.0885,13
术前CARIQ-7,14.28,11.6596,4,13.9138,8.5727,13
术后CARIQ-7,1.19,2.38,4,0.0,0.0,13
差值CARIQ-7,-13.09,12.5186,4,-13.9138,8.5727,13
术前POPIQ-7,29.75,11.9,4,28.56,14.6713,13
术后POPIQ-7,3.57,7.14,4,0.7323,2.6404,13
差值POPIQ-7,-26.18,8.2446,4,-27.8277,14.907,13
术前PFIQ-7,67.725,37.474,4,71.2738,33.6085,13
术后PFIQ-7,8.33,11.2474,4,8.0554,18.678,13
差值PFIQ-7,-59.395,42.5789,4,-63.2185,42.9727,13
PGI-I,1.5,1.0,4,1.6154,1.0439,13
