变量,宫颈部分截除术=0_均值,宫颈部分截除术=0_标准差,宫颈部分截除术=0_N,宫颈部分截除术=1_均值,宫颈部分截除术=1_标准差,宫颈部分截除术=1_N
术前PISQ-12,30.0,2.8284,2,28.6364,3.3548,11
术后PISQ-12,35.0,2.8284,2,35.0909,4.4149,11
差值PISQ-12,5.0,0.0,2,6.4545,1.9679,11
术前POPDI-6,24.7242,12.2471,15,24.0666,12.097,49
术后POPDI-6,3.8892,7.948,15,5.5277,8.9367,49
差值POPDI-6,-20.835,11.2476,15,-18.5389,15.3827,49
术前CRADI-8,12.9167,6.6676,15,12.5,7.7864,49
术后CRADI-8,3.5417,5.8899,15,2.6148,6.0967,49
差值CRADI-8,-9.375,8.5988,15,-9.8852,9.848,49
术前UDI-6,18.3348,10.889,15,18.8791,11.1586,49
术后UDI-6,6.1116,9.0293,15,5.9529,9.5098,49
差值UDI-6,-12.2232,12.0428,15,-12.9262,13.0183,49
术前PFDI-20,57.0869,24.4537,15,55.4456,22.6285,49
术后PFDI-20,13.5425,16.9398,15,14.0953,19.6452,49
差值PFDI-20,-43.5444,20.9986,15,-41.3503,29.6216,49
术前UIQ-7,24.7572,21.3829,15,22.7362,11.3028,49
术后UIQ-7,3.808,8.8505,15,3.4971,10.1337,49
差值UIQ-7,-20.9492,22.5326,15,-19.2391,14.0806,49
术前CARIQ-7,17.1396,17.0525,15,13.8943,7.3267,49
术后CARIQ-7,2.5387,8.6032,15,1.5543,6.8283,49
差值CARIQ-7,-14.6009,18.5669,15,-12.3401,11.0333,49
术前POPIQ-7,26.6616,13.0757,15,29.0518,11.3019,49
术后POPIQ-7,2.856,8.777,15,1.9429,6.0615,49
差值POPIQ-7,-23.8056,15.6866,15,-27.109,13.009,49
术前PFIQ-7,68.5584,39.8253,15,65.6824,13.5005,49
术后PFIQ-7,9.2027,14.7776,15,6.9943,17.546,49
差值PFIQ-7,-59.3557,36.1635,15,-58.6881,21.9526,49
PGI-I,1.6667,1.0465,15,1.4286,0.7638,49
