变量名,因变量分组,样本数,均值,标准差,最小值,最大值
术前PISQ-12,0,2,30.0,2.8284,28.0,32.0
术前PISQ-12,1,11,28.6364,3.3548,24.0,34.0
术后PISQ-12,0,2,35.0,2.8284,33.0,37.0
术后PISQ-12,1,11,35.0909,4.4149,31.0,45.0
差值PISQ-12,0,2,5.0,0.0,5.0,5.0
差值PISQ-12,1,11,6.4545,1.9679,4.0,11.0
术前POPDI-6,0,15,24.7242,12.2471,8.334,54.171
术前POPDI-6,1,49,24.0666,12.097,8.334,58.338
术后POPDI-6,0,15,3.8892,7.948,0.0,29.169
术后POPDI-6,1,49,5.5277,8.9367,0.0,37.503
差值POPDI-6,0,15,-20.835,11.2476,-41.67,-4.167
差值POPDI-6,1,49,-18.5389,15.3827,-58.338,12.501
术前CRADI-8,0,15,12.9167,6.6676,0.0,21.875
术前CRADI-8,1,49,12.5,7.7864,0.0,40.625
术后CRADI-8,0,15,3.5417,5.8899,0.0,18.75
术后CRADI-8,1,49,2.6148,6.0967,0.0,25.0
差值CRADI-8,0,15,-9.375,8.5988,-21.875,3.125
差值CRADI-8,1,49,-9.8852,9.848,-40.625,12.5
术前UDI-6,0,15,18.3348,10.889,4.167,41.67
术前UDI-6,1,49,18.8791,11.1586,0.0,50.004
术后UDI-6,0,15,6.1116,9.0293,0.0,29.169
术后UDI-6,1,49,5.9529,9.5098,0.0,33.336
差值UDI-6,0,15,-12.2232,12.0428,-37.503,16.668
差值UDI-6,1,49,-12.9262,13.0183,-45.837,20.835
术前PFDI-20,0,15,57.0869,24.4537,29.169,117.716
术前PFDI-20,1,49,55.4456,22.6285,16.668,121.883
术后PFDI-20,0,15,13.5425,16.9398,0.0,56.253
术后PFDI-20,1,49,14.0953,19.6452,0.0,70.837
差值PFDI-20,0,15,-43.5444,20.9986,-101.048,-16.667
差值PFDI-20,1,49,-41.3503,29.6216,-120.841,41.669
术前UIQ-7,0,15,24.7572,21.3829,4.761,80.937
术前UIQ-7,1,49,22.7362,11.3028,0.0,47.61
术后UIQ-7,0,15,3.808,8.8505,0.0,33.32
术后UIQ-7,1,49,3.4971,10.1337,0.0,52.36
差值UIQ-7,0,15,-20.9492,22.5326,-76.177,14.276
差值UIQ-7,1,49,-19.2391,14.0806,-47.61,28.555
术前CARIQ-7,0,15,17.1396,17.0525,0.0,66.654
术前CARIQ-7,1,49,13.8943,7.3267,0.0,38.088
术后CARIQ-7,0,15,2.5387,8.6032,0.0,33.32
术后CARIQ-7,1,49,1.5543,6.8283,0.0,38.08
差值CARIQ-7,0,15,-14.6009,18.5669,-61.894,19.037
差值CARIQ-7,1,49,-12.3401,11.0333,-38.088,38.08
术前POPIQ-7,0,15,26.6616,13.0757,4.761,47.61
术前POPIQ-7,1,49,29.0518,11.3019,9.522,61.893
术后POPIQ-7,0,15,2.856,8.777,0.0,33.32
术后POPIQ-7,1,49,1.9429,6.0615,0.0,28.56
差值POPIQ-7,0,15,-23.8056,15.6866,-47.61,4.759
差值POPIQ-7,1,49,-27.109,13.009,-61.893,4.755
术前PFIQ-7,0,15,68.5584,39.8253,14.283,180.918
术前PFIQ-7,1,49,65.6824,13.5005,33.327,104.742
术后PFIQ-7,0,15,9.2027,14.7776,0.0,42.84
术后PFIQ-7,1,49,6.9943,17.546,0.0,76.16
差值PFIQ-7,0,15,-59.3557,36.1635,-138.078,-4.763
差值PFIQ-7,1,49,-58.6881,21.9526,-104.742,-0.016
